사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
리빈(Livin'),서울특별시 중구 다동 52,"서울특별시 중구 다동길 23, 1,2층 (다동)",04521,100-180,198219.444444021,451723.699191218,37.56800034950797,126.98064306028886
얼큰한 동태탕&김치찜,서울특별시 양천구 신월동 225-25 1층,"서울특별시 양천구 곰달래로 16, 1층 (신월동)",07924,158-831,185288.519829619,447505.795015588,37.52987743674404,126.83434222248707
동대문 철판 순대곱창3,서울특별시 송파구 삼전동 45-9,"서울특별시 송파구 백제고분로22길 15, 1층 103호 (삼전동)",05592,138-838,207800.323098925,444476.499466172,37.50266481292306,127.08902724658286
독보,서울특별시 성동구 성수동1가 13-137,"서울특별시 성동구 상원길 50-15, 1층 (성수동1가)",04790,133-822,204228.345656192,449615.66458667,37.54899700753836,127.04865521190523
북평소머리국밥(장안직영점),서울특별시 동대문구 장안동 425-11,"서울특별시 동대문구 천호대로83길 71-1, 1층 (장안동)",02629,130-844,205760.384413112,451425.231198698,37.56529458994064,127.06600858910215
초밥상회,서울특별시 강서구 염창동 263 태진한솔아파트 상가동 103호,"서울특별시 강서구 공항대로71길 54, 상가동 1층 103호 (염창동, 태진한솔아파트)",07556,157-862,188798.189527387,449659.395424975,37.549332701593656,126.87402055381321
냉삼식당,서울특별시 중구 신당동 370-114 1층,"서울특별시 중구 다산로 163, 1층 (신당동)",04608,100-893,201019.809501272,450659.219905954,37.558409558611906,127.01234336554208
고바우,서울특별시 구로구 구로동 780-1 2층,"서울특별시 구로구 도림로14길 2, 2층 (구로동)",08372,152-875,190089.586751966,442811.919118708,37.48764501755807,126.88872857480138
아부지가 어부,서울특별시 강서구 화곡동 1120-13 (지상 1층),"서울특별시 강서구 화곡로58길 22-3, 1층 (화곡동, 6동)",07657,157-928,186859.971131502,450042.562376229,37.552759797404235,126.85207745786066
창동수유리우동집,서울특별시 도봉구 창동 75-4 지상1층 102호,"서울특별시 도봉구 노해로65길 14, 지상1층 102호 (창동)",01405,132-903,204036.76220241,461074.834638229,37.65225494783519,127.04655011156157
