사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
고래꼬치,서울특별시 광진구 화양동 5-75,서울특별시 광진구 아차산로33길 22 (화양동),05017,143-914,206149.212846828,448776.461298419,37.541424176919904,127.07038799770683
오늘도파티,서울특별시 강서구 화곡동 776-3,"서울특별시 강서구 등촌로 35, 4층 우측호 (화곡동)",07741,157-897,187854.849416436,447880.535621149,37.53329156317906,126.86337350441104
카페그리닝,서울특별시 관악구 봉천동 875-1 관악캠퍼스타워,"서울특별시 관악구 남부순환로 1802, 1층 (봉천동, 관악캠퍼스타워)",08786,151-836,195537.269534163,442122.202180318,37.48147232231391,126.9503375751752
반포 수진이네 된청찌개(테이크아웃 전문점),서울특별시 서초구 반포동 2-8 신반포상가,"서울특별시 서초구 신반포로15길 29, 신반포상가 2층 238호 (반포동)",06503,137-800,199448.513021585,444800.550772527,37.505617627327354,126.99456204057735
헬키푸키 서초교대점,서울특별시 서초구 서초동 1597-6 1층 102호,"서울특별시 서초구 사임당로 34, 1층 102호 (서초동)",06651,137-876,201152.892272941,442859.093738747,37.48812254461394,127.01383751121632
학이포차,서울특별시 금천구 시흥동 896-17,"서울특별시 금천구 독산로 47, 지상1층 일부호 (시흥동)",08630,153-858,191592.36914278,438819.958230823,37.451688119272305,126.90576824231685
회이크,서울특별시 광진구 중곡동 247-5,서울특별시 광진구 긴고랑로 16-1 (중곡동),04913,143-904,206833.643952395,451255.13765425,37.56375455529755,127.07815648616123
놀부부대찌개 홈플러스 금천점,서울특별시 금천구 독산동 291-7 홈플러스 금천점,"서울특별시 금천구 시흥대로 391, 홈플러스 금천점 지상1층 일부호 (독산동)",08584,153-813,190809.507840375,440728.382273075,37.46887761786036,126.89689575303633
조용한 예약 독방,서울특별시 서대문구 창천동 31-26 (지상2층),"서울특별시 서대문구 명물1길 2 (창천동,(지상2층))",03776,120-834,194395.21729833,450629.228513884,37.558122828519295,126.93735893164875
콜비 에비뉴,서울특별시 강남구 신사동 613-5 캐럴라인타워,"서울특별시 강남구 압구정로32길 11, 지상1층 102호 (신사동)",06022,135-894,202601.216639328,447186.65948325,37.527115351809826,127.0302312281128
빠리냉삼,서울특별시 강남구 대치동 898,"서울특별시 강남구 선릉로 418, 지상1층 104호 (대치동)",06198,135-840,204379.602634846,444450.075574017,37.50244926717548,127.0503363067935
유아왓유잇(YWE) 코엑스점,서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 H103B호 (삼성동)",06164,135-731,205130.591678902,445590.096837802,37.512718142105015,127.05883845652237
부어카페,서울특별시 강북구 수유동 568-24,"서울특별시 강북구 4.19로8길 2, 2층 (수유동)",01011,142-070,200755.751248475,460541.679614787,37.64745935655857,127.00936465649657
종로김밥,서울특별시 종로구 종로6가 289-57번지 503호 ,"서울특별시 종로구 종로 272 (종로6가,503호)",03198,110126,200647.01325068,452054.764927519,37.57098504970854,127.00812486416233
우리 청담점,서울특별시 강남구 논현동 241-16,"서울특별시 강남구 학동로50길 7, 지상1층 101호,104호 (논현동)",06099,135-830,203472.006113539,446003.98577584,37.51645542453819,127.04007810713422
쉘터에이(Shelter A),서울특별시 강남구 청담동 31-12,"서울특별시 강남구 삼성로 725, 신관 지상1층 102호 (청담동)",06067,135-950,204261.009835561,446438.765417965,37.52036991594825,127.04900646528337
후토루 강남구청점,서울특별시 강남구 논현동 119 The Pinnacle Gangnam,"서울특별시 강남구 학동로 343, The Pinnacle Gangnam 지하2층 B203호 (논현동)",06060,135-820,203522.611749323,446136.224971923,37.51764683981507,127.04065123206448
옛날그맛 명동칼국수,서울특별시 강남구 역삼동 727-14 프라임빌딩,"서울특별시 강남구 논현로 412, 프라임빌딩 지상1층 105호,106호 (역삼동)",06224,135-921,203390.390363975,443864.765894165,37.49717918965482,127.03914494365853
카페 바바바(cafe BAVABA),서울특별시 강남구 논현동 183-10,"서울특별시 강남구 강남대로118길 28, 지상1층 (논현동)",06120,135-827,202200.375287313,444955.562945988,37.50701198710076,127.0256892675323
알로하포케 갤러리아압구정점,서울특별시 강남구 압구정동 494 갤러리아백화점,"서울특별시 강남구 압구정로 343, 갤러리아백화점 고메이 494 식품관 지하1층 (압구정동)",06008,135-902,203470.848439305,447369.579851952,37.528760781941436,127.04007145995863
포케포케,서울특별시 동작구 신대방동 705,"서울특별시 동작구 보라매로 83, 101동 1층 103호 (신대방동, 아파트)",07060,156-855,193498.730079784,443833.932921653,37.49688469393951,126.92727164189058
서퍼스 부스,서울특별시 마포구 합정동 433-29,"서울특별시 마포구 포은로 54, 1층 일부호 (합정동)",04021,121-887,191698.180225387,450007.296610998,37.5524982946307,126.9068379808935
우든박스커피(Wooden Box Coffee),서울특별시 양천구 목동 521-19,"서울특별시 양천구 목동중앙북로22길 7, 1층 (목동)",07970,158-808,189042.400273025,449313.867697582,37.54622211010806,126.87678962556788
가치로아,서울특별시 동대문구 휘경동 266-6 프리미어 M 회기,"서울특별시 동대문구 망우로21길 63, 프리미어 M 회기 1층 101호 (휘경동)",02439,130-876,205184.076888108,454182.452784872,37.590143067036315,127.0595041896988
도깨비포차,서울특별시 노원구 공릉동 584-14,"서울특별시 노원구 동일로178길 19-6, 좌측호 (공릉동)",01848,139-240,206623.082268808,457692.96795699,37.62176658513797,127.07583116000126
수:을,서울특별시 노원구 상계동 323-29,"서울특별시 노원구 노해로85길 1, 1(중)층 (상계동)",01695,139-816,205673.59365732,461470.967887664,37.65581576651767,127.06510399370227
오우,서울특별시 용산구 한남동 657-144,"서울특별시 용산구 대사관로31길 19-6, 현빌딩 1층 (한남동)",04401,140-887,200423.496696391,448013.121416104,37.534566152325795,127.00559209141846
프로젝트렌트 용산점,서울특별시 용산구 용문동 35-8,"서울특별시 용산구 새창로14길 23, 1층 106호 (용문동)",04356,140-832,196310.352540965,448472.092447691,37.5386946425505,126.95904736657228
따따베이,서울특별시 마포구 노고산동 31-76,"서울특별시 마포구 고산길 13, 1층 (노고산동)",04102,121-806,194438.881682145,450145.748300097,37.55376648440436,126.93785683719322
만복래,서울특별시 서대문구 남가좌동 341-9,"서울특별시 서대문구 증가로10길 6, 1층 동측 (남가좌동)",03665,120-807,193154.300895269,452834.506364021,37.57798601373737,126.92329230351943
명김밥,서울특별시 종로구 창신동 583-95,"서울특별시 종로구 창신길 78, 1층 4호 (창신동)",03096,110-837,200883.062628972,452530.632630282,37.57527285651536,127.01079776226734
달콤왕가탕후루 홍대1호점,서울특별시 마포구 서교동 364-23,"서울특별시 마포구 어울마당로 80, 1층 102호 (서교동)",04041,121-893,193010.132819018,449987.604454636,37.552331732521914,126.92168715341522
불나는 칼국수,서울특별시 강남구 역삼동 707-34 한신인터밸리24,"서울특별시 강남구 테헤란로 322, 한신인터밸리24 지하2층 B105호 (역삼동)",06211,135-918,204044.789948927,444529.84042741,37.50316955702289,127.04654978561912
민 위스키(Min Whiskey),서울특별시 강남구 대치동 942-3,"서울특별시 강남구 삼성로 436, 지상1층 101호 (대치동)",06178,135-845,205021.427708749,444851.260675991,37.50606108478641,127.0575985237685
두끼떡볶이 둔촌동역점,서울특별시 강동구 성내동 429-3,"서울특별시 강동구 양재대로 1335, 2층 5호 (성내동)",05405,134-890,211854.1068652,447051.598623403,37.5258258349799,127.13491987049096
갓튀긴후라이드 천호점,서울특별시 강동구 천호동 166-4,"서울특별시 강동구 진황도로 36, 지1,1층 5호 (천호동)",05336,134-864,211513.70780088,448472.606827239,37.538634783830865,127.13109080570088
다금쿡,서울특별시 강동구 길동 333-6 성원빌딩,"서울특별시 강동구 양재대로124길 41, 성원빌딩 106호 (길동)",05302,134-810,212700.003673652,448959.800428497,37.54300927963609,127.14452349351512
고향전주비빔밥 천호점,서울특별시 강동구 천호동 572 현대백화점,"서울특별시 강동구 천호대로 1005, 현대백화점 12층 (천호동)",05328,134-779,210929.919693661,448537.406728283,37.53922579602995,127.1244855528514
계림상회,서울특별시 동대문구 제기동 996,"서울특별시 동대문구 고산자로36길 30, 1층 (제기동)",02571,130-865,203475.825916878,452979.109298992,37.57930790180549,127.0401543500333
키드씨키드,서울특별시 성동구 금호동4가 1418-3 새한빌딩,"서울특별시 성동구 동호로 88, 새한빌딩 1층 (금호동4가)",04725,133-809,201395.538533728,449468.80984516,37.547682347534845,127.01659403070752
현방오백소갈비살 사가정점,서울특별시 중랑구 면목동 354-4,"서울특별시 중랑구 면목로 272, 1층 (면목동)",02252,131-827,207529.31870228,452758.288050777,37.57729388277723,127.08604691610732
미면소,서울특별시 성북구 동선동2가 135-26,"서울특별시 성북구 동소문로22길 57-15, 지상1층 (동선동2가)",02849,136-052,201625.219133048,454274.505346981,37.59098570546579,127.01920409660151
김치찌개와 튀긴고기친구들,서울특별시 중랑구 망우동 608 LH서울양원1단지,"서울특별시 중랑구 양원역로 92, B1층 2호 (망우동, LH서울양원1단지)",02057,131-230,209382.601928324,456286.93447877,37.6090730323591,127.10707495850691
샐러드박스 문래점,서울특별시 영등포구 문래동6가 33 에이스엔에스타워,"서울특별시 영등포구 문래북로 8, 에이스엔에스타워 109호 (문래동6가)",07280,150-096,189825.743146319,446574.176568125,37.52154385251929,126.88569287933895
봉명동내커피,서울특별시 영등포구 당산동1가 33,"서울특별시 영등포구 당산로10길 8, 1층 103호 (당산동1가)",07266,150-800,190788.922986352,446611.818774108,37.521893162776074,126.89658938835134
퍼부어 신당점,서울특별시 중구 황학동 594,"서울특별시 중구 퇴계로87길 29, 1층 (황학동)",04576,100-869,201783.815945902,451612.300460601,37.56699653793018,127.02099357825725
옥이네 닭내장탕,서울특별시 동대문구 제기동 486-26,"서울특별시 동대문구 경동시장로10길 49, 1층 (제기동)",02573,130-862,203766.419003743,453236.177046366,37.58162317091998,127.04344585308725
Sweet(스위트)1225 선유도역점,서울특별시 영등포구 양평동4가 199 선유파크빌딩,"서울특별시 영등포구 양평로22길 18, 선유파크빌딩 1층 (양평동4가)",07206,150-867,190666.569398438,448549.637439388,37.53935354646072,126.89518050882128
막내포차,서울특별시 중랑구 중화동 298-29,"서울특별시 중랑구 중랑역로 22-1, 1층 (중화동)",02109,131-879,206668.360400145,454868.727010857,37.59631744267123,127.0763183679971
마장동고기집 면목점,서울특별시 중랑구 면목동 72-2,"서울특별시 중랑구 겸재로 230, 1층 (면목동)",02199,131-815,208164.770963087,454128.125198754,37.589631915129466,127.0932567601484
무드바,서울특별시 성북구 동소문동2가 290,"서울특별시 성북구 동소문로8길 12, 지상2층 (동소문동2가)",02860,136-032,200783.682269257,454110.226127272,37.589506505030776,127.0096742979326
나베야 돈까스 용두점,서울특별시 동대문구 용두동 129-143,"서울특별시 동대문구 천호대로24길 41, 1층 (용두동)",02589,130-821,202912.623697061,452184.706367349,37.572151563306264,127.03377444895071
팔팔보드카페,서울특별시 동대문구 회기동 16-13,"서울특별시 동대문구 경희대로4길 8, 지하1층 (회기동)",02453,130-872,204624.9355298,454456.740575978,37.59261762121782,127.05317423955856
마장 한우리,서울특별시 동대문구 제기동 442,"서울특별시 동대문구 홍릉로5길 14, 1층 (제기동)",02573,130-862,203775.283411957,453379.250097147,37.58291235121226,127.04354695880961
신설동사람들 본점,서울특별시 동대문구 신설동 396-7,"서울특별시 동대문구 한빛로 33-2, 1층 (신설동)",02581,130-810,202269.303398458,452906.324500257,37.57865580866487,127.02649351417189
이문동 꽃집,서울특별시 동대문구 이문동 255-256 1층,"서울특별시 동대문구 이문로 178, 1층 (이문동)",02412,130-827,205429.366979567,455571.764175258,37.60266056174865,127.06229214050705
뉴욕아파트먼트,서울특별시 마포구 합정동 473 마포 한강 2차 푸르지오,"서울특별시 마포구 월드컵로3길 14, 2층 217호 (합정동, 마포 한강 2차 푸르지오)",04024,121-888,192142.27136309,449868.964586499,37.55125568649214,126.91186578807472
수유중앙식당,서울특별시 강북구 수유동 30-42 (지상1층),서울특별시 강북구 노해로 53 (수유동),01077,142-872,201900.349672327,459781.838209425,37.640610918972335,127.02233400067244
더(THE)바다마켓 전농점,서울특별시 동대문구 전농동 183-31,"서울특별시 동대문구 전농로 157, 1층 (전농동)",02545,130-852,204947.101263543,452940.489072623,37.57895317000155,127.05681230663033
고:지트,서울특별시 성북구 안암동5가 103-93 1층,"서울특별시 성북구 고려대로24길 39, 1층 (안암동5가)",02856,136-075,202542.543240739,453570.370708145,37.58463874863592,127.02958949490301
타코비 당산점,서울특별시 영등포구 양평동4가 32-17 국도빌딩,"서울특별시 영등포구 선유동2로 65, 국도빌딩 1층 (양평동4가)",07212,150-866,190913.191491174,448022.072843461,37.53460214897823,126.89797787102816
다콩,서울특별시 강서구 방화동 908 힐스테이트 신방화역,"서울특별시 강서구 초원로16길 3-11, 지층 101호 (방화동, 힐스테이트 신방화역)",07617,157-220,183659.82326372,451676.508401261,37.56743192416648,126.815821043971
원조오막집국수,서울특별시 강서구 마곡동 797 에이스타워 마곡 215호,"서울특별시 강서구 공항대로 237, 에이스타워 마곡 2층 215호 (마곡동)",07803,157-210,185253.47815088,450811.037605568,37.559660150133,126.83387933994183
석쇠불고기도 주는 옥사장 냉면 화곡점,서울특별시 강서구 화곡동 1047-28,"서울특별시 강서구 화곡로21길 25, 1층 (화곡동)",07712,157-922,185484.774638166,448863.471717831,37.54211448009388,126.83653596947379
가마솥김치찜&김치찌개 옥사장집밥 화곡점,서울특별시 강서구 화곡동 1047-28,"서울특별시 강서구 화곡로21길 25, 1층 (화곡동)",07712,157-922,185484.774638166,448863.471717831,37.54211448009388,126.83653596947379
보배반점(공릉점),서울특별시 노원구 공릉동 395-3 막국수,"서울특별시 노원구 동일로192길 16, 막국수 1층 (공릉동)",01842,139-240,206475.201144343,458159.885693257,37.62597495440827,127.07415998937755
은미네,서울특별시 강서구 등촌동 647-40 지하1층,"서울특별시 강서구 공항대로59길 16, 지하1층 (등촌동)",07563,157-840,187908.36531947,450020.089639173,37.55257164686231,126.86394381606124
SOOT숯,서울특별시 양천구 목동 607-43,"서울특별시 양천구 목동중앙북로7가길 58, 2층 (목동)",07946,158-811,187966.115402403,449743.050416144,37.550076023893084,126.86460198721598
뚜띠 파스타,서울특별시 마포구 공덕동 249-36 주식회사 필경,"서울특별시 마포구 마포대로12길 58, 주식회사 필경 2층 (공덕동)",04211,121-803,195895.264446237,449340.442729889,37.54651755591939,126.95434531070312
도화국수,서울특별시 마포구 도화동 173 삼창프라자빌딩,"서울특별시 마포구 마포대로 63-8, 삼창프라자빌딩 지하1층 72호 (도화동)",04157,121-812,195324.793653981,448885.430093289,37.542414741660366,126.94789199865083
싱싱샐러드 망원점,서울특별시 마포구 망원동 476-17,"서울특별시 마포구 방울내로 80, 1층 좌측호 (망원동)",03964,121-826,191466.390387838,450916.555727685,37.5606894447524,126.90420395470714
신당동 숯불곱창,서울특별시 서대문구 홍은동 9-75,"서울특별시 서대문구 포방터길 57, 1층 전면 좌측에서 여섯번째호 (홍은동)",03605,120-841,195439.103549454,455216.149400157,37.59946087900998,126.949146229051
둥근과자점,서울특별시 도봉구 도봉동 616-8,"서울특별시 도봉구 도봉로157길 11, 1층 (도봉동)",01309,132-820,203759.128515545,463449.142385004,37.67365047747991,127.04341581679653
감자골,서울특별시 강북구 미아동 777-6 104호,"서울특별시 강북구 삼양로 246, 104호 (미아동)",01127,142-823,201578.38256506,458114.72644578,37.625589481127406,127.01868199861653
(주)커피빈코리아 상봉역점,서울특별시 중랑구 상봉동 100-17,"서울특별시 중랑구 망우로 291, 1층 (상봉동)",02098,131-857,207418.221668514,454906.592570063,37.596652905314585,127.08481083104387
주산식당,서울특별시 구로구 고척동 39-6 신성빌딩,"서울특별시 구로구 중앙로14길 31, 신성빌딩 1층 104호 (고척동)",08218,152-823,187827.628150651,445053.084826682,37.50781313557471,126.86311231313822
오늘하루,서울특별시 마포구 서교동 403-4 DE빌딩,"서울특별시 마포구 독막로9길 38, DE빌딩 1층 101호 (서교동)",04048,121-895,192914.574395312,449736.650932039,37.55006967614823,126.92060802610577
오르비에토,서울특별시 성북구 동선동2가 295,"서울특별시 성북구 보문로32길 96, 1층 (동선동2가)",02844,136-052,201829.740824838,454224.576362604,37.590535417221844,127.02151998986952
두찜 강서까치산역점,서울특별시 강서구 화곡동 936-14,"서울특별시 강서구 월정로 110, 1층 (화곡동)",07775,157-910,185705.354736765,447432.346655997,37.529222150994656,126.83906004684877
연삼겹살,서울특별시 은평구 신사동 39-7,"서울특별시 은평구 가좌로 281-2, 1층 (신사동)",03441,122-883,192217.664691033,454574.444773056,37.59365695771874,126.91266914218791
청춘꼬마김밥 상암점,서울특별시 마포구 상암동 2-90,"서울특별시 마포구 성암로15길 20, 지하1층 (상암동)",03927,121-830,190714.425868162,452848.012705741,37.57808634837506,126.89566765800448
요거트아이스크림의정석 구로디지털점,서울특별시 구로구 구로동 182-13 대륭포스트타워2차,"서울특별시 구로구 디지털로 306, 대륭포스트타워2차 1층 101-2호 (구로동)",08378,152-847,190845.231594802,442639.420821243,37.48609842676614,126.89727587936694
Have Fun!(해브펀),서울특별시 동작구 상도동 207-2,"서울특별시 동작구 장승배기로 8, 1층 (상도동)",06967,156-841,194946.722816186,444147.66661636,37.499720813278536,126.94364605281767
Charm,서울특별시 동작구 신대방동 724 보라매자이 더 포레스트,"서울특별시 동작구 여의대방로22길 121, 1층 1432호 (신대방동, 보라매자이 더 포레스트)",07056,156-855,193394.538706062,444040.843567772,37.49874843084446,126.92609139703289
버블캐슬,서울특별시 관악구 봉천동 1636-2,"서울특별시 관악구 남부순환로246나길 24, 1층 (봉천동)",08793,151-832,196863.345683636,441396.846975247,37.47494155780573,126.96533529682999
골목집,서울특별시 서초구 양재동 280-8 1층,"서울특별시 서초구 동산로19길 48, 1층 (양재동)",06782,137-895,203993.98,441397.93,37.474948010066164,127.04595809253534
굽네치킨 신방화역점,서울특별시 강서구 마곡동 734 마곡엠밸리1단지,"서울특별시 강서구 마곡서1로 131, 상가동 1층 101호 (마곡동, 마곡엠밸리1단지)",07598,157-210,183905.710709693,451791.022890742,37.568468128547025,126.81860208617549
풍자네봄,서울특별시 강동구 성내동 429-7,"서울특별시 강동구 양재대로89가길 18-1, 1,2층 (성내동)",05405,134-890,211807.297394548,447075.291249737,37.526039928554,127.13439064027715
아렌엘(R&L Lounge Cafe),서울특별시 송파구 잠실동 245-16 바우하우스,"서울특별시 송파구 삼전로9길 6, 1층 101호 (잠실동, 바우하우스)",05566,138-864,207779.999731912,444908.262893727,37.50655560799424,127.08880194163439
청담초밥 문정점,서울특별시 송파구 문정동 66-5,"서울특별시 송파구 송파대로14길 7-10, 1층 (문정동)",05807,138-826,210983.587451957,442438.127125351,37.484264633242496,127.12500176225048
사마르칸트(SAMARKAND),서울특별시 강동구 천호동 167-137,"서울특별시 강동구 성안로25길 65, 1층 101호 (천호동)",05337,134-864,211593.882509812,448531.199720578,37.53916175655142,127.1319989973781
리베르(LIBER),서울특별시 강동구 천호동 293-17 중앙클레식하우스,"서울특별시 강동구 상암로 104, 에이동 1층 102호 (천호동, 중앙클레식하우스)",05320,134-867,211779.526360164,449434.123749938,37.54729559374612,127.13411426708308
프라테르,서울특별시 중구 신당동 52-27,"서울특별시 중구 다산로38길 68, 1층 (신당동)",04584,100-831,201621.288315071,451080.909797776,37.562208516089356,127.01915251961897
더테이블 카페,서울특별시 중구 충무로2가 62-9,"서울특별시 중구 퇴계로 139, 1층 (충무로2가)",04537,100-861,198814.884440598,451003.686958642,37.561513330658045,126.98738495573966
1956 한양꽃삼겹 요리 잘 하는 고깃집(송파점),서울특별시 송파구 방이동 124-23,"서울특별시 송파구 가락로 237, 1층 103,104호 (방이동)",05643,138-830,210326.1290061,445263.825657647,37.50973461590493,127.11760692800826
더스티(DUSTY),서울특별시 영등포구 양평동6가 2-3 선유도 더채움,"서울특별시 영등포구 양평로28길 5, 선유도 더채움 101동101호, 102호 104동 B01호 (양평동6가)",07202,150-106,190215.384353569,448692.482373313,37.540636037812824,126.8900728883804
진심,서울특별시 용산구 용산동1가 8 전쟁기념관,"서울특별시 용산구 이태원로 29, 전쟁기념관 뮤지엄카페동 1층 (용산동1가)",04353,140-021,197907.622016666,448229.955586627,37.53651776251446,126.97712300818918
첼시스하이볼 이태원점,서울특별시 용산구 이태원동 72-17,"서울특별시 용산구 보광로59길 17, 지1,1,2층 (이태원동)",04391,140-863,199311.328977181,447954.610363963,37.53403875093286,126.99300737426103
커피집 보후밀,서울특별시 성동구 성수동2가 255-1,"서울특별시 성동구 뚝섬로17길 29, 1층 (성수동2가)",04785,133-826,205266.444148362,448659.248513779,37.540373441747214,127.06039724858424
88시장버거,서울특별시 광진구 구의동 78-25 1층,"서울특별시 광진구 자양로39길 14, 1층 (구의동)",04992,143-819,207752.888595363,449654.154979773,37.549320938149286,127.08854535857083
프랭크버거 구로구청점,서울특별시 구로구 구로동 103-11 한솔로이젠트,"서울특별시 구로구 가마산로 265, 한솔로이젠트 1층 102-1호 (구로동)",08301,152-842,190174.839618048,443775.071597821,37.49632491506031,126.88967979411385
진심왕돈까스 장안점,서울특별시 동대문구 장안동 335-3,"서울특별시 동대문구 답십리로 298, 1층 (장안동)",02637,130-840,206428.347543061,452188.561342823,37.572168473272015,127.07357673882258
동경규동,서울특별시 구로구 구로동 97 로제리움2차,"서울특별시 구로구 가마산로26길 5, 로제리움2차 1층 102호 (구로동)",08302,152-841,190294.035360864,443760.760228532,37.49619721540231,126.89102805584074
더카페&페르케노 구로지타워,서울특별시 구로구 구로동 832 G-Tower,"서울특별시 구로구 디지털로26길 38, G-Tower 지하2층 B223a(1층120호)호 (구로동)",08393,152-879,190662.780817079,441973.603139541,37.4800968939134,126.89522113204585
탕화쿵푸마라탕 수유점,서울특별시 강북구 수유동 191-15 야산빌딩,"서울특별시 강북구 도봉로 343, 야산빌딩 2층 전체호 (수유동)",01074,142-878,202206.678208066,459574.070789662,37.63873808128933,127.02580456509216
"혜화 달 손만두,만두전골",서울특별시 종로구 혜화동 109-4번지 1층 101호 ,"서울특별시 종로구 혜화로 4, 1층 101호 (혜화동)",03076,110530,199997.299849296,453770.207439777,37.58644296718851,127.00076942516029
멈블케이크,서울특별시 성동구 홍익동 406,"서울특별시 성동구 무학로 24-1, 1층 (홍익동)",04707,133-881,202608.100791593,451568.429768511,37.5665992577227,127.03032468696456
야타이 쇼부,서울특별시 마포구 서교동 395-33,"서울특별시 마포구 독막로3길 23, 1층 (서교동)",04044,121-840,192590.67,449687.123258246,37.54962083871427,126.91694261959141
1982 한인타운 냉면집(송파점),서울특별시 송파구 방이동 124-23,"서울특별시 송파구 가락로 237, 1층 103,104호 (방이동)",05643,138-830,210326.1290061,445263.825657647,37.50973461590493,127.11760692800826
김선생 나주곰탕,서울특별시 동대문구 제기동 1149-16,"서울특별시 동대문구 회기로2길 2, 1층 (제기동)",02465,130-865,203173.377001518,454307.968033274,37.59128319843005,127.03673568857556
태백 닭갈비,서울특별시 마포구 망원동 395-4,"서울특별시 마포구 포은로 75, 1층 일부호 (망원동)",04017,121-821,191573.169013313,450188.990292425,37.55413438956269,126.9054209887982
오월의하루,서울특별시 광진구 자양동 655-17 101호,"서울특별시 광진구 뚝섬로55길 30, 1층 101호 (자양동)",05058,143-867,207181.589171444,447836.884427757,37.53295022512152,127.08206175859323
르샤브샤브,서울특별시 서대문구 충정로2가 188-2,"서울특별시 서대문구 충정로7길 31, 2층 (충정로2가)",03737,120-012,196638.096232174,451243.888624562,37.56367239970342,126.96274346763741
다올,서울특별시 영등포구 양평동1가 217-12,"서울특별시 영등포구 영등포로11길 18, 1층 (양평동1가)",07272,150-863,190050.970012527,446882.871189446,37.5243279472701,126.88823681464142
엘리트서울(Elite Seoul),서울특별시 용산구 이태원동 66-3,"서울특별시 용산구 보광로59길 40, 4층 401호 (이태원동)",04391,140-863,199207.970797577,447971.259259347,37.53418869072221,126.9918378115247
핀초(PINCHO),서울특별시 양천구 신월동 942-8 1층,"서울특별시 양천구 지양로11길 13, 1층 (신월동)",08037,158-845,185084.639362559,446614.102699341,37.521839170727375,126.8320534603542
철계단집,서울특별시 동대문구 휘경동 183-433,"서울특별시 동대문구 회기로31가길 35-1, 1층 (휘경동)",02445,130-876,204945.245929301,454230.855102375,37.590580528746514,127.05680000960484
꿀뱅이,서울특별시 마포구 동교동 152-15 1층,"서울특별시 마포구 동교로 212-5, 1층 (동교동)",03994,121-816,193208.642950466,450785.606107166,37.55952395518291,126.92392654622012
신월커피,서울특별시 양천구 신월동 205-23 1층,"서울특별시 양천구 남부순환로58길 27-1, 1층 (신월동)",07915,158-830,185011.388536671,447492.493293458,37.529753114515756,126.83120681512074
메가엠지씨커피 용마산역점,서울특별시 중랑구 면목동 371-133,"서울특별시 중랑구 면목로 250, 1층 (면목동)",02253,131-826,207487.02491293,452532.264745203,37.57525755435713,127.08556575774395
화로숯불구이 돈마을,서울특별시 관악구 봉천동 927-23,"서울특별시 관악구 장군봉1길 49, 1층 (봉천동)",08784,151-844,194869.198431832,442174.684804439,37.48194177798587,126.94278298385335
하이볼테라스 본점,서울특별시 노원구 상계동 327-1,"서울특별시 노원구 노해로83길 15, 2층 (상계동)",01695,139-817,205592.356963414,461506.915871372,37.65614018426233,127.06418354028808
마유유 마라탕 방배역점,"서울특별시 서초구 방배동 923-6 107, 108호","서울특별시 서초구 방배로13길 18, 107호, 108호 (방배동, 방배아크로타워)",06683,137-843,199513.040528302,442328.58100894,37.4833426603758,126.99529355741193
콩나물떡라면집,서울특별시 중구 중림동 60-1 1층,"서울특별시 중구 청파로 445-1, 1층 (중림동)",04506,100-858,197154.679333334,450769.747333333,37.559401685718335,126.96859299309772
코발트원,서울특별시 서대문구 홍은동 9-75,"서울특별시 서대문구 포방터길 57, 1층 103호 (홍은동)",03605,120-841,195439.103549454,455216.149400157,37.59946087900998,126.949146229051
바른곱창,서울특별시 광진구 자양동 624-45 대원캐슬빌 1층105호,"서울특별시 광진구 자양로13가길 2, 1층 105호 (자양동, 대원캐슬빌)",05057,143-866,207161.23002905,448036.132756026,37.53474580309015,127.08183333181633
서탑반점,서울특별시 구로구 구로동 492-5 1층,"서울특별시 구로구 구로동로42길 69 (구로동,1층)",08280,152-858,189663.585105791,444061.906236613,37.49890400478168,126.88389360977965
정에프앤비,서울특별시 중랑구 상봉동 127-45,"서울특별시 중랑구 동일로109길 8, 1층 104호 (상봉동)",02123,131-861,206964.39734722,454439.086628524,37.59244381508865,127.07966686155174
구도로통닭 신촌점,서울특별시 서대문구 창천동 57-33 1층,"서울특별시 서대문구 연세로5가길 21, 1층 (창천동)",03789,120-834,194221.519799344,450550.485163491,37.5574122048046,126.93539345451067
한뿌리죽 현대백화점 신촌점,서울특별시 서대문구 창천동 30-33 현대백화점신촌점,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하1층 (창천동)",03789,120-706,194265.067639805,450433.691021245,37.55636005264718,126.93588728462821
목동즉석우동,서울특별시 양천구 목동 555-3,"서울특별시 양천구 목동중앙본로 88, 1층 (목동)",07974,158-810,188476.50747856,449027.753247059,37.5436370523379,126.87038975662293
올빼미,서울특별시 강북구 수유동 192-61 지층 102호,"서울특별시 강북구 한천로139길 42, 지층 102호 (수유동)",01072,142-878,202128.41823526,459616.005143063,37.639116128500284,127.02491789893678
청담집,서울특별시 성북구 하월곡동 59-2 102호,"서울특별시 성북구 오패산로10길 30 (하월곡동, 102호)",02751,136-865,203319.551117001,455870.940940499,37.60536643411872,127.03839806709463
솔솥 마곡점,"서울특별시 강서구 마곡동 774-9 사이언스타 1층 104,105호","서울특별시 강서구 마곡중앙6로 42, 사이언스타 1층 104,105호 (마곡동)",07802,157-210,185095.247005248,450885.058431205,37.560324598301776,126.83208677342758
