name,category,city,district,parcelAddress,roadAddress,roadPostal,districtPostal,latitude,longitude,xCoordinate,yCoordinate
놀닭,한식,서울특별시,강서구,서울특별시 강서구 화곡동 376-2 (지상 1층),"서울특별시 강서구 가로공원로72길 4, 1층 (화곡동, 1동)",7761,157-884,37.536701920533500,126.83479667328300,185330.020871287,448263.077308169
레스토랑괴르츠,경양식,서울특별시,마포구,서울특별시 마포구 상수동 304-1 제이앤씨빌딩 7층,"서울특별시 마포구 토정로 136-13 (상수동,제이앤씨빌딩 7층)",4081,121-829,37.54509271559000,126.92582561636900,193375.138347374,449183.946919867
청도호프,한식,서울특별시,구로구,서울특별시 구로구 구로동 738-74,서울특별시 구로구 구로동로 92 (구로동),8319,152-872,37.487164885134200,126.88535331482400,189791.048963397,442758.997087146
돼지김치찌개제육볶음,한식,서울특별시,도봉구,서울특별시 도봉구 방학동 628-3 (지상1층),"서울특별시 도봉구 도당로15길 48 (방학동,(지상1층))",1347,132-841,37.66765326611990,127.03543866869400,203055.712528761,462783.291698312
피나치공 중곡점,경양식,서울특별시,광진구,서울특별시 광진구 중곡동 80-24 103호,서울특별시 광진구 자양로43길 149 (중곡동),4949,143-888,37.55732108445770,127.08873100826300,207768.461525119,450541.996110088
오복순대국,한식,서울특별시,영등포구,서울특별시 영등포구 문래동4가 6-5 1층,"서울특별시 영등포구 도림로 465, 1층 (문래동4가)",7288,150-094,37.51592798943460,126.89153610890300,190341.499431078,445950.337063792
서울꽃삼 발산본점,식육(숯불구이),서울특별시,강서구,서울특별시 강서구 내발산동 652 호용빌딩 1층,"서울특별시 강서구 강서로52길 16, 호용빌딩 1층 (내발산동)",7646,157-280,37.55791774801960,126.83896497279400,185702.433211681,450616.886380629
상계동갈비 노원점,일식,서울특별시,노원구,서울특별시 노원구 상계동 456-22,서울특별시 노원구 노원로34길 88 (상계동),1679,139-820,37.66307956187720,127.06615468301300,205765.735050998,462277.154722574
구수한 양꼬치,정종/대포집/소주방,서울특별시,강서구,서울특별시 강서구 화곡동 373-11 (지상 1층),"서울특별시 강서구 가로공원로76길 54, 1층 (화곡동, 1동)",7761,157-884,37.53486171128860,126.83772983099100,185588.874767443,448058.404816868
손가네가마솥,한식,서울특별시,성북구,서울특별시 성북구 정릉동 14-33,서울특별시 성북구 정릉로34길 8 (정릉동),2816,136-841,37.60262855477560,127.01751421570700,201475.760069804,455566.565707696
카페 해화,기타,서울특별시,종로구,서울특별시 종로구 명륜4가 54-2,"서울특별시 종로구 대명1길 16-12, 1~2층 (명륜4가)",3078,110-524,37.583196826139500,127.00004802225800,199933.587831641,453409.961508974
고삼이,한식,서울특별시,서대문구,"서울특별시 서대문구 창천동 53-8 ,72 (지상1층)","서울특별시 서대문구 연세로7안길 38 (창천동,,72 (지상1층))",3787,120-180,37.55856701233990,126.93473139079700,194163.118448164,450678.682301977
반지아,호프/통닭,서울특별시,성북구,서울특별시 성북구 장위동 218-30,"서울특별시 성북구 월계로 170-8, 지하1층 (장위동)",2754,136-834,37.6191815317884,127.04487096881500,203890.326962619,457404.351423624
서오릉피자,기타,서울특별시,동작구,서울특별시 동작구 대방동 385-15 남경빌딩,"서울특별시 동작구 여의대방로 198, 남경빌딩 1층 (대방동)",6945,156-810,37.50464288708460,126.92239915779500,193068.629290662,444695.247669
킹스카츠 신도림점,일식,서울특별시,구로구,서울특별시 구로구 구로동 8-16,"서울특별시 구로구 새말로 85, 1층 102-2호 (구로동)",8288,152-838,37.50556343316720,126.88934908994600,190146.813085852,444800.352870029
가야스넥코너,분식,서울특별시,종로구,서울특별시 종로구 인의동 112-2번지,서울특별시 종로구 창경궁로 109 (인의동),3137,110410,37.572490131980700,126.99707507450400,199670.979884558,452221.775006084
백스비어 상일점,한식,서울특별시,강동구,서울특별시 강동구 상일동 342,"서울특별시 강동구 상일로 17, 1층 101호 (상일동)",5283,134-838,37.54881217153660,127.17299236794900,215214.453823181,449608.009133683
구디 주식회사,기타,서울특별시,서초구,서울특별시 서초구 서초동 1320-10 지하1층 105호,"서울특별시 서초구 서초대로74길 11, 지하1층 105호 (서초동)",6620,137-857,37.49688646503500,127.02687015373800,202305.084677949,443831.909375165
술찌,한식,서울특별시,서대문구,서울특별시 서대문구 창천동 57-20,"서울특별시 서대문구 연세로7길 25, 3층 (창천동)",3789,120-834,37.55762214046170,126.93537716141200,194220.096566519,450573.784039237
수라간,분식,서울특별시,중구,서울특별시 중구 신당동 44-27,"서울특별시 중구 다산로36길 79, 1층 (신당동)",4584,100-815,37.560869533337700,127.01890384731700,201599.348864013,450932.310161716
미가키(Migaki),일식,서울특별시,용산구,서울특별시 용산구 후암동 254-59,"서울특별시 용산구 두텁바위로31길 1, 1층 (후암동)",4336,140-190,37.54660974270460,126.98036419380300,198194.294778226,449349.855425207
